timestamp,origin,destination,departure_date,return_date,trip_length_days,cabin_class,passengers,lowest_price_mxn,airline,stops,duration,url
2026-05-22 22:31:04,MEX,EDI,2026-09-01,2026-09-09,8,business,1,63686,British Airways,1 stop,24 hr 10 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20EDI%20on%202026-09-01%20returning%202026-09-09%20business%20class%201%20passenger
2026-05-22 22:31:30,MEX,EDI,2026-09-02,2026-09-09,7,business,1,64180,British Airways,1 stop,13 hr 35 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20EDI%20on%202026-09-02%20returning%202026-09-09%20business%20class%201%20passenger
2026-05-22 22:31:56,MEX,EDI,2026-09-02,2026-09-10,8,business,1,64373,British Airways,1 stop,13 hr 35 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20EDI%20on%202026-09-02%20returning%202026-09-10%20business%20class%201%20passenger
2026-05-22 22:32:22,MEX,EDI,2026-09-03,2026-09-10,7,business,1,77146,British Airways,1 stop,13 hr 50 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20EDI%20on%202026-09-03%20returning%202026-09-10%20business%20class%201%20passenger
2026-05-22 23:29:05,MEX,CDG,2026-09-01,2026-09-08,7,economy,1,16519,Aeromexico,Nonstop,10 hr 55 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20CDG%20on%202026-09-01%20returning%202026-09-08%20economy%20class%201%20passenger
2026-05-22 23:29:31,MEX,CDG,2026-09-01,2026-09-09,8,economy,1,16519,Aeromexico,Nonstop,10 hr 55 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20CDG%20on%202026-09-01%20returning%202026-09-09%20economy%20class%201%20passenger
2026-05-22 23:29:57,MEX,CDG,2026-09-02,2026-09-09,7,economy,1,17146,Air France,1 stop,16 hr,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20CDG%20on%202026-09-02%20returning%202026-09-09%20economy%20class%201%20passenger
2026-05-22 23:30:23,MEX,CDG,2026-09-02,2026-09-10,8,economy,1,17146,Air France,1 stop,16 hr,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20CDG%20on%202026-09-02%20returning%202026-09-10%20economy%20class%201%20passenger
2026-05-22 23:30:49,MEX,CDG,2026-09-03,2026-09-10,7,economy,1,19736,Aeromexico,Nonstop,10 hr 45 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20CDG%20on%202026-09-03%20returning%202026-09-10%20economy%20class%201%20passenger
2026-05-22 23:31:15,MEX,CDG,2026-09-01,2026-09-08,7,business,1,71542,Aeromexico,Nonstop,10 hr 45 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20CDG%20on%202026-09-01%20returning%202026-09-08%20business%20class%201%20passenger
2026-05-22 23:31:41,MEX,CDG,2026-09-01,2026-09-09,8,business,1,71542,Aeromexico,Nonstop,10 hr 45 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20CDG%20on%202026-09-01%20returning%202026-09-09%20business%20class%201%20passenger
2026-05-22 23:32:06,MEX,CDG,2026-09-02,2026-09-09,7,business,1,71548,Aeromexico,Nonstop,10 hr 45 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20CDG%20on%202026-09-02%20returning%202026-09-09%20business%20class%201%20passenger
2026-05-22 23:32:32,MEX,CDG,2026-09-02,2026-09-10,8,business,1,71548,Aeromexico,Nonstop,10 hr 45 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20CDG%20on%202026-09-02%20returning%202026-09-10%20business%20class%201%20passenger
2026-05-22 23:32:58,MEX,CDG,2026-09-03,2026-09-10,7,business,1,65980,Aeromexico,1 stop,16 hr 10 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20CDG%20on%202026-09-03%20returning%202026-09-10%20business%20class%201%20passenger
2026-05-23 00:19:48,MEX,CDG,2026-09-01,2026-09-08,7,economy,1,16553,Aeromexico,Nonstop,10 hr 55 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20CDG%20on%202026-09-01%20returning%202026-09-08%20economy%20class%201%20passenger
2026-05-23 00:20:14,MEX,CDG,2026-09-01,2026-09-09,8,economy,1,16553,Aeromexico,Nonstop,10 hr 55 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20CDG%20on%202026-09-01%20returning%202026-09-09%20economy%20class%201%20passenger
2026-05-23 00:20:40,MEX,CDG,2026-09-02,2026-09-09,7,economy,1,17182,Air France,1 stop,16 hr,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20CDG%20on%202026-09-02%20returning%202026-09-09%20economy%20class%201%20passenger
